objectid,title,display_template,radio_show,host,guest,date,description,subject,identifier,broadcaster,language,subtitle_language,rights_summary,duration,object_location
rg_9_8_17,"Clark, Sam -- radio personality and producer of the record Black Americans",record,Soul of Reason,"Dr. Roscoe C. Brown, Jr.",Sam Clark,1976-01-07,"Dr. Roscoe C. Brown, Jr. and Sam Clark discuss Clark's record Black Americans, a record that addresses Blacks and the United States Bicentennial, and whether or not the Black man is still fighting the United States government.","Activism; American Revolution Bicentennial, 1976; Black people—History; Politics and GovernmentAfrican Americans—Civil rights; African American soldiers—History; Black people—History; Sound recordings—History and criticism",9w0vtbhc,WNBC; WNYU,eng,English subtitles,Copyright belongs to New York University,00:28:58,https://findingaids.library.nyu.edu/archives/rg_9_8/audio/9w0vtbhc
rg_9_8_181,"Greaves, William -- independent filmmaker and producer of From These Roots",record,Soul of Reason,"Dr. Roscoe C. Brown, Jr.",William Greaves,1976-06-30,"Dr. Roscoe C. Brown, Jr. and William Greaves discuss how Black filmmakers during the 1960s and 1970s moved to the forefront of independent filmmakers.",Motion pictures; African Americans in the motion picture industry; Harlem Renaissance; Independent filmmakers—United States,mkkwhf73,WNBC; WNYU,eng,English subtitles,Copyright belongs to New York University,00:28:55,https://findingaids.library.nyu.edu/archives/rg_9_8/audio/mkkwhf73
rg_9_8_111,"Stewart, Ruth Ann -- Assistant Curator for the Schomburg Center for Research in Black Culture of the New York Public Library",record,Soul of Reason,"Dr. Roscoe C. Brown, Jr.",Ruth Ann Stewart,1977-06-15,"Dr. Roscoe C. Brown, Jr. and Ruth Ann Stewart discuss the history and collection of the New York Public Library's Schomburg Center for Research in Black Culture in Harlem. They also discuss funding for a new facility since outgrowing its 135th Street location.",Archives,4tmpgbjr,WNBC; WNYU,eng,English subtitles,Copyright belongs to New York University,00:29:31,https://findingaids.library.nyu.edu/archives/rg_9_8/audio/4tmpgbjr
rg_9_8_132,"Rhoden, John, Romare Bearden, and Larry Wilson -- a sculptor, an artist, and a representative from Philip Morris, Inc",record,Soul of Reason,"Dr. Roscoe C. Brown, Jr.",John Rhoden; Romare Bearden; Larry Wilson,1977-07-28,"Dr. Roscoe C. Brown, Jr., artists Romare Bearden and John Roden, and sponsor Larry Wilson discuss the Brooklyn Museum of Art's exhibition Two Centuries of Black American Art.",Museums; African American art; African American artists; African American painting; Brooklyn Museum; Art—Exhibitions; African American sculptors,jwstqrxq,WNBC; WNYU,eng,English subtitles,Copyright belongs to New York University,00:30:27,https://findingaids.library.nyu.edu/archives/rg_9_8/audio/jwstqrxq
rg_9_8_133,"Feinstein, Dr. Alan and Ambassador Ogbu -- author of African Revolutionary: The Life and Times of Nigeria's Aminu Kano, and the Ambassador of Nigeria",record,Soul of Reason,"Dr. Roscoe C. Brown, Jr.",Alan Feinstein; Edwin Ogbu,1974-01-30,"Dr. Roscoe C. Brown, Jr., Dr. Alan Feinstein, and Ambassador Ogbu of Nigeria discuss the life of Nigerian patriot Aminu Kano.","World politics; Nigeria—Politics and government; Igbo (African people); Africa—Politics and government; African Americans—Relations with Africans; Nationalism—Nigeria; Nigeria—History—Civil War, 1967-1970; Decolonization—Nigeria—History; United Nations; Ambassadors—Nigeria; Nigeria—Foreign relations",f4qrfrcc,WNBC; WNYU,eng,English subtitles,Copyright belongs to New York University,00:28:52,https://findingaids.library.nyu.edu/archives/rg_9_8/audio/f4qrfrcc
rg_9_8_193,"Dempsey, Ellen, Robert Williams, and Florence Jackson -- Two Representatives from the New York City Bicentennial Corporation and the Director of Social Studies for New York City Board of Education",record,Soul of Reason,"Dr. Roscoe C. Brown, Jr.",Ellen Dempsey; Robert Williams; Florence Jackson,1975-10-01,"Dr. Roscoe C. Brown, Jr., Ellen Dempsey, Robert Williams, and Florence Jackson discuss the various school and community projects prompted by the Bicentennial.","New York Metropolitan Area; American Revolution Bicentennial, 1976; African American history; United States—History; Community education",2jm644xw,WNBC; WNYU,eng,English subtitles,Copyright belongs to New York University,00:28:31,https://findingaids.library.nyu.edu/archives/rg_9_8/audio/2jm644xw
rg_9_8_115,"Perkins, William Eric and Eric Foner -- Professor from Temple University, and Professor from City College of the City University of New York",record,Soul of Reason,"Dr. Roscoe C. Brown, Jr.",William Eric Perkins; Eric Foner,1977-01-04,"Dr. Roscoe C. Brown, Jr., William Eric Perkins, and Eric Foner discuss controversial new books about Blacks during slavery, including Charles Wesley's Roll, Jordan, Roll.",World politics; Slavery; African American history; Southern States; Social history,mw6m96d6,WNBC; WNYU,eng,English subtitles,Copyright belongs to New York University,00:28:39,https://findingaids.library.nyu.edu/archives/rg_9_8/audio/mw6m96d6
rg_9_8_121,"Moore, Bob and Jean Carrie Bond -- Representatives from The Council on Interracial Books for Children and the Foundation for Change",record,Soul of Reason,"Dr. Roscoe C. Brown, Jr.",Bob Moore; Jean Carrie Bond,1976-06-01,"Dr. Roscoe C. Brown, Jr., Bob Moore, and Jean Carrie Bond discuss racial stereotypes found in books for children.",Activism; Racism in education; Children's books; Stereotypes (Social psychology),vdnck16r,WNBC; WNYU,eng,English subtitles,Copyright belongs to New York University,00:28:20,https://findingaids.library.nyu.edu/archives/rg_9_8/audio/vdnck16r
rg_9_8_85,"Murray, James P. -- Film critic, Film Editor of the New York Amsterdam News, and Editor of Black Creation",record,Soul of Reason,"Dr. Roscoe C. Brown, Jr.",James P. Murray,1973-08-19,"Dr. Roscoe C. Brown, Jr. and James P. Murray discuss the business aspect of the entertainment industry, including how commercialism affects the relationship between Black performing artists and business entrepreneurs.","Motion pictures; Performing arts; Arts, Black; Commercialism",z8w9gr4c,WNBC; WNYU,eng,English subtitles,Copyright belongs to New York University,00:28:49,https://findingaids.library.nyu.edu/archives/rg_9_8/audio/z8w9gr4c
rg_9_8_131,"Jackson Christmas, Dr. June -- Commissioner of Mental Health Services in New York City",record,Soul of Reason,"Dr. Roscoe C. Brown, Jr.",Dr. June Jackson Christmas,1977-08-09,"Dr. Roscoe C. Brown, Jr. and Dr. June Jackson Christmas discuss the increase in mental health issues within the Black community following the recent economic crisis. They also discuss the programs available to the Black community to treat these issues.",Health; Mental health; Social services; Alcoholism,pnvx0sgf,WNBC; WNYU,eng,English subtitles,Copyright belongs to New York University,00:29:26,https://findingaids.library.nyu.edu/archives/rg_9_8/audio/pnvx0sgf
